ShowName;ReleaseYear
Thunderbolt;1947
Gigi;1958
Ujala;1959
Singapore;1960
Lolita;1962
Professor;1962
Amrapali;1966
Prince;1969
Elaan;1971
Superfly;1972
Benji;1974
Manoranjan;1974
Salaakhen;1975
Carrie;1976
Rocky;1976
Sparkle;1976
Bandie;1978
Grease;1978
Popeye;1980
Stripes;1981
Supergirl;1984
Medium;1985
Robotech;1985
Jaal;1986
Dad;1989
Mujrim;1989
Shikari;1991
Candyman;1992
Chamatkar;1992
Cheers;1992
Khalnayak;1993
Philadelphia;1993
Balto;1995
Barsaat;1995
Trimurti;1995
Chaahat;1996
Trainspotting;1996
187;1997
Hero;1997
Lifeline;1997
Pardes;1997
BASEketball;1998
Fallen;1998
Goosebumps;1998
Qila;1998
Rounders;1998
Superstar;1999
Taal;1999
Tarzan;1999
Fiza;2000
Pukar;2000
Asoka;2001
Blow;2001
Evolution;2001
InuYasha;2001
Lagaan;2001
Swordfish;2001
Vizontele;2001
Yaadein;2001
Company;2002
Equilibrium;2002
Lavender;2002
Pitaah;2002
Shararat;2002
XXx;2002
Boom;2003
Dum;2003
Frasier;2003
Friends;2003
Gothika;2003
Khushi;2003
Kopitiam;2003
Aitraaz;2004
Crash;2004
Devrai;2004
G.O.R.A;2004
Hellboy;2004
Chameli;2004
Miracle;2004
Rebelde;2004
Rubi;2004
Run;2004
Shutter;2004
Swades;2004
Troy;2004
Yuva;2004
Bewafaa;2005
Brick;2005
Cocaine;2005
Gie;2005
Charmed;2005
Insan;2005
Junebug;2005
Paheli;2005
Shabd;2005
Yu-Gi-Oh;2005
Babel;2006
Badha;2006
Bleach;2006
Extras;2006
Hokkabaz;2006
Iqbal;2006
P;2006
Penelope;2006
Poseidon;2006
Fracture;2007
Guru;2007
Hattrick;2007
Intelligence;2007
Next;2007
Sakhi;2007
Secret;2007
Superbad;2007
War;2007
Zodiac;2007
1920;2008
Aamir;2008
Bolt;2008
Caregiver;2008
CLANNAD;2008
Connected;2008
Contract;2008
Defiance;2008
Doubt;2008
Fashion;2008
Igor;2008
Inkheart;2008
Jericho;2008
Karzzzz;2008
Love;2008
Milk;2008
Naruto;2008
Race;2008
Tahaan;2008
Traitor;2008
Tyson;2008
9;2009
Accident;2009
Agyaat;2009
Billu;2009
Carriers;2009
Coraline;2009
Dev.D;2009
Ezel;2009
G-Force;2009
Invictus;2009
Iris;2009
Kaminey;2009
Kisaan;2009
Knowing;2009
Kurbaan;2009
Life;2009
Merantau;2009
Océans;2009
Shorts;2009
Splatter;2009
Together;2009
